Title,State,HarvestYear,HarvestDate,Weight,HiveID
1050 Winter,MA,2018,10/16/2018,14.7,484
1050 Winter,MA,2018,07/31/2018,24.08,484
135 Santilli Highway,MA,2018,07/19/2018,20.16,1696
2 frames,MA,2018,03/23/2018,7.5,1975
Alfano,MA,2018,10/10/2018,31.5,2176
Autum’s Ambrosia,MA,2018,10/22/2018,15,2262
Autum’s Ambrosia,MA,2018,11/01/2018,18,2326
Autum’s Ambrosia,MA,2018,10/04/2018,10.5,2343
Autumn's Ambrosia,MA,2018,10/31/2018,7.5,2319
Autumn’s Ambrosia,CT,2018,09/27/2018,13.5,1879
Autumn’s Ambrosia,MA,2018,10/19/2018,24,28
Autumn’s Ambrosia,MA,2018,10/01/2018,33,33
Autumn’s Ambrosia,MA,2018,10/24/2018,24,41
Autumn’s Ambrosia,MA,2018,10/24/2018,21,42
Autumn’s Ambrosia,MA,2018,10/03/2018,27.75,47
Autumn’s Ambrosia,MA,2018,10/03/2018,18.75,48
Autumn’s Ambrosia,MA,2018,10/03/2018,9,49
Autumn’s Ambrosia,MA,2018,10/29/2018,3.75,57
Autumn’s Ambrosia,MA,2018,10/29/2018,4.5,77
Autumn’s Ambrosia,MA,2018,10/25/2018,18,83
Autumn’s Ambrosia,MA,2018,10/22/2018,19.5,105
Autumn’s Ambrosia,MA,2018,10/16/2018,22.5,111
Autumn’s Ambrosia,MA,2018,11/12/2018,9,112
Autumn’s Ambrosia,MA,2018,10/16/2018,10.5,113
Autumn’s Ambrosia,MA,2018,10/31/2018,24,119
Autumn’s Ambrosia,MA,2018,10/01/2018,28.5,141
Autumn’s Ambrosia,MA,2018,09/26/2018,17.25,181
Autumn’s Ambrosia,MA,2018,10/04/2018,12,193
Autumn’s Ambrosia,MA,2018,09/26/2018,7.5,207
Autumn’s Ambrosia,MA,2018,09/26/2018,7.5,210
Autumn’s Ambrosia,MA,2018,09/26/2018,15,211
Autumn’s Ambrosia,MA,2018,09/26/2018,6,213
Autumn’s Ambrosia,MA,2018,10/22/2018,6,217
Autumn’s Ambrosia,MA,2018,10/04/2018,3.36,222
Autumn’s Ambrosia,MA,2018,10/02/2018,6.3,280
Autumn’s Ambrosia,MA,2018,10/02/2018,6.16,281
Autumn’s Ambrosia,MA,2018,10/26/2018,1.68,310
Autumn’s Ambrosia,MA,2018,11/01/2018,18,311
Autumn’s Ambrosia,MA,2018,10/31/2018,4.5,314
Autumn’s Ambrosia,MA,2018,09/26/2018,16.875,319
Autumn’s Ambrosia,MA,2018,10/22/2018,27,339
Autumn’s Ambrosia,MA,2018,10/30/2018,3,345
Autumn’s Ambrosia,MA,2018,11/01/2018,21,352
Autumn’s Ambrosia,MA,2018,10/03/2018,13.5,429
Autumn’s Ambrosia,MA,2018,10/04/2018,24,441
Autumn’s Ambrosia,MA,2018,10/01/2018,16.125,455
Autumn’s Ambrosia,MA,2018,10/16/2018,25.5,462
Autumn’s Ambrosia,MA,2018,10/17/2018,34.5,464
Autumn’s Ambrosia,MA,2018,10/30/2018,5.04,471
Autumn’s Ambrosia,MA,2018,10/16/2018,7.5,508
Autumn’s Ambrosia,MA,2018,10/31/2018,13.5,527
Autumn’s Ambrosia,MA,2018,09/26/2018,16.5,587
Autumn’s Ambrosia,MA,2018,09/26/2018,21.75,588
Autumn’s Ambrosia,MA,2018,09/27/2018,16.5,618
Autumn’s Ambrosia,MA,2018,10/19/2018,1.5,622
Autumn’s Ambrosia,MA,2018,10/04/2018,6,649
Autumn’s Ambrosia,MA,2018,10/22/2018,15,680
Autumn’s Ambrosia,MA,2018,09/27/2018,4.5,688
Autumn’s Ambrosia,MA,2018,10/17/2018,4.5,748
Autumn’s Ambrosia,MA,2018,09/27/2018,5.625,752
Autumn’s Ambrosia,MA,2018,10/17/2018,25.5,753
Autumn’s Ambrosia,MA,2018,11/05/2018,7.5,756
Autumn’s Ambrosia,MA,2018,11/01/2018,3,786
Autumn’s Ambrosia,MA,2018,11/01/2018,19,790
Autumn’s Ambrosia,MA,2018,10/10/2018,3,818
Autumn’s Ambrosia,MA,2018,10/31/2018,21.84,824
Autumn’s Ambrosia,MA,2018,10/24/2018,21.375,843
Autumn’s Ambrosia,MA,2018,09/27/2018,10.5,858
Autumn’s Ambrosia,MA,2018,09/27/2018,24,859
Autumn’s Ambrosia,MA,2018,11/06/2018,6,863
Autumn’s Ambrosia,MA,2018,10/24/2018,3,864
Autumn’s Ambrosia,MA,2018,10/31/2018,19.5,989
Autumn’s Ambrosia,MA,2018,10/25/2018,12,991
Autumn’s Ambrosia,MA,2018,10/30/2018,4.5,992
Autumn’s Ambrosia,MA,2018,10/19/2018,12,1004
Autumn’s Ambrosia,MA,2018,10/16/2018,17.92,1036
Autumn’s Ambrosia,MA,2018,10/16/2018,16.8,1037
Autumn’s Ambrosia,MA,2018,09/26/2018,4.125,1041
Autumn’s Ambrosia,MA,2018,10/24/2018,7.5,1089
Autumn’s Ambrosia,MA,2018,11/06/2018,15,1102
Autumn’s Ambrosia,MA,2018,10/25/2018,18,1193
Autumn’s Ambrosia,MA,2018,10/23/2018,1,1198
Autumn’s Ambrosia,MA,2018,10/18/2018,9,1246
Autumn’s Ambrosia,MA,2018,10/26/2018,21,1252
Autumn’s Ambrosia,MA,2018,10/04/2018,4.5,1256
Autumn’s Ambrosia,MA,2018,10/22/2018,13.5,1271
Autumn’s Ambrosia,MA,2018,10/01/2018,9,1274
Autumn’s Ambrosia,MA,2018,10/25/2018,3,1302
Autumn’s Ambrosia,MA,2018,10/03/2018,15,1370
Autumn’s Ambrosia,MA,2018,10/25/2018,4.5,1371
Autumn’s Ambrosia,MA,2018,10/12/2018,10.5,1401
Autumn’s Ambrosia,MA,2018,10/16/2018,13.5,1416
Autumn’s Ambrosia,MA,2018,10/12/2018,15.375,1515
Autumn’s Ambrosia,MA,2018,10/03/2018,20.16,1696
Autumn’s Ambrosia,MA,2018,10/16/2018,30,1703
Autumn’s Ambrosia,MA,2018,11/12/2018,28.5,1706
Autumn’s Ambrosia,MA,2018,11/12/2018,14.25,1707
Autumn’s Ambrosia,MA,2018,11/01/2018,13.5,1710
Autumn’s Ambrosia,MA,2018,10/23/2018,18,1722
Autumn’s Ambrosia,MA,2018,10/01/2018,20.625,1724
Autumn’s Ambrosia,MA,2018,11/01/2018,6,1727
Autumn’s Ambrosia,MA,2018,11/02/2018,15,1734
Autumn’s Ambrosia,MA,2018,10/24/2018,12,1736
Autumn’s Ambrosia,MA,2018,10/03/2018,6,1742
Autumn’s Ambrosia,MA,2018,10/31/2018,10.5,1746
Autumn’s Ambrosia,MA,2018,10/31/2018,19.5,1751
Autumn’s Ambrosia,MA,2018,10/16/2018,25.5,1754
Autumn’s Ambrosia,MA,2018,10/01/2018,3.375,1759
Autumn’s Ambrosia,MA,2018,10/09/2018,12,1768
Autumn’s Ambrosia,MA,2018,10/12/2018,4.5,1839
Autumn’s Ambrosia,MA,2018,10/22/2018,21,1850
Autumn’s Ambrosia,MA,2018,10/12/2018,18,1862
Autumn’s Ambrosia,MA,2018,10/10/2018,18,1864
Autumn’s Ambrosia,MA,2018,10/16/2018,21,1866
Autumn’s Ambrosia,MA,2018,10/25/2018,15.75,1882
Autumn’s Ambrosia,MA,2018,10/16/2018,12,1887
Autumn’s Ambrosia,MA,2018,10/31/2018,7.5,1914
Autumn’s Ambrosia,MA,2018,10/15/2018,4.2,1935
Autumn’s Ambrosia,MA,2018,10/30/2018,4.5,1938
Autumn’s Ambrosia,MA,2018,10/30/2018,10.5,1948
Autumn’s Ambrosia,MA,2018,10/29/2018,10.5,1954
Autumn’s Ambrosia,MA,2018,10/17/2018,10.5,1958
Autumn’s Ambrosia,MA,2018,10/15/2018,15,1974
Autumn’s Ambrosia,MA,2018,10/05/2018,25.5,1992
Autumn’s Ambrosia,MA,2018,11/28/2018,12,1996
Autumn’s Ambrosia,MA,2018,10/29/2018,51,1997
Autumn’s Ambrosia,MA,2018,10/24/2018,21,2000
Autumn’s Ambrosia,MA,2018,10/31/2018,22.5,2012
Autumn’s Ambrosia,MA,2018,11/01/2018,13.5,2027
Autumn’s Ambrosia,MA,2018,10/23/2018,7.5,2037
Autumn’s Ambrosia,MA,2018,11/01/2018,6,2044
Autumn’s Ambrosia,MA,2018,11/01/2018,12,2070
Autumn’s Ambrosia,MA,2018,10/02/2018,7.5,2076
Autumn’s Ambrosia,MA,2018,10/04/2018,10.5,2078
Autumn’s Ambrosia,MA,2018,10/18/2018,10.5,2097
Autumn’s Ambrosia,MA,2018,08/02/2018,13.5,2162
Autumn’s Ambrosia,MA,2018,10/24/2018,3,2171
Autumn’s Ambrosia,MA,2018,10/23/2018,6,2175
Autumn’s Ambrosia,MA,2018,10/31/2018,18.75,2177
Autumn’s Ambrosia,MA,2018,10/24/2018,3,2209
Autumn’s Ambrosia,MA,2018,10/26/2018,4.5,2212
Autumn’s Ambrosia,MA,2018,10/26/2018,7.56,2246
Autumn’s Ambrosia,MA,2018,10/12/2018,19.5,2249
Autumn’s Ambrosia,MA,2018,11/01/2018,21,2252
Autumn’s Ambrosia,MA,2018,10/31/2018,9.24,2253
Autumn’s Ambrosia,MA,2018,10/22/2018,5.355,2258
Autumn’s Ambrosia,MA,2018,10/15/2018,4.5,2259
Autumn’s Ambrosia,MA,2018,10/17/2018,15.75,2264
Autumn’s Ambrosia,MA,2018,11/01/2018,9,2269
Autumn’s Ambrosia,MA,2018,10/03/2018,9,2273
Autumn’s Ambrosia,MA,2018,11/12/2018,6,2335
Autumn’s Ambrosia,MA,2018,10/17/2018,15,2353
Autumn’s Ambrosia,MA,2018,11/02/2018,3,2355
Autumn’s Ambrosia,MA,2018,11/06/2018,1.5,2380
Autumn’s Ambrosia,MA,2018,10/03/2018,9.75,2388
Autumn’s Ambrosia,MA,2018,12/06/2018,3,2391
Autumn’s Ambrosia,MA,2018,11/01/2018,9,2391
Autumn’s Ambrosia,MA,2018,11/01/2018,22,2423
Autumn’s Ambrosia,MA,2018,10/04/2018,6,2440
Autumn’s Ambrosia,MA,2018,11/01/2018,10.5,2453
Autumn’s Ambrosia,MA,2018,10/16/2018,4.5,2471
Autumn’s Ambrosia,MA,2018,10/19/2018,13.5,2472
Autumn’s Ambrosia,MA,2018,10/26/2018,24,2478
Autumn’s Ambrosia,MA,2018,10/26/2018,30,2479
Autumn’s Ambrosia,ME,2018,10/08/2018,7.5,1330
Autumn’s Ambrosia,ME,2018,10/08/2018,10.5,1509
Autumn’s Ambrosia,ME,2018,10/08/2018,3,1510
Autumn’s Ambrosia,ME,2018,10/08/2018,18,2363
Autumn’s Ambrosia,ME,2018,10/08/2018,3,2381
Autumn’s Ambrosia,ME,2018,10/08/2018,4.5,2382
Autumn’s Ambrosia,NH,2018,10/12/2018,1.5,1990
Autumn’s Ambrosia,RI,2018,11/05/2018,6,1097
Autumn’s Ambrosia,RI,2018,10/25/2018,27,1197
Autumn’s Ambrosia,RI,2018,10/25/2018,6,1379
Autumn’s Ambrosia,RI,2018,10/25/2018,10.5,1380
Autumn’s Ambrosia,RI,2018,10/25/2018,9.24,1380
Autumn’s Ambrosia,RI,2018,10/24/2018,19.5,1506
Autumn’s Ambrosia,RI,2018,10/23/2018,12,1926
Autumn’s Ambrosia,RI,2018,10/25/2018,16.5,1980
Autumn’s Ambrosia,RI,2018,10/23/2018,10.08,2133
Autumn’s Ambrosia,VT,2018,10/09/2018,7.5,2412
Autumn’s Ambrosia,VT,2018,10/10/2018,9,2413
Autumn’s Ambrosia,VT,2018,10/10/2018,7.5,2414
Autumn’s Ambrosia,VT,2018,10/09/2018,9,2416
Autumn’s Amrosia,MA,2018,10/04/2018,24,1157
Autumnal Ambrosia,MA,2018,10/22/2018,31.5,318
Autumns Ambrosia,MA,2018,10/15/2018,1.5,185
Autumns Ambrosia,MA,2018,11/14/2018,18,1971
Autumns Ambrosia,MA,2018,10/15/2018,8.4,2128
autums ambrosia,MA,2018,10/24/2018,12,1435
Autums Ambrosia,MA,2018,10/15/2018,5.25,2288
Autums Ambrosia,RI,2018,11/05/2018,10.5,1129
Autums Ambrosia,RI,2018,11/05/2018,18,1130
Autums Ambrosia,RI,2018,10/23/2018,9,2331
Baker,NY,2018,10/28/2018,8.4,2156
Baylies,MA,2018,10/24/2018,6,1927
Baylies,MA,2018,03/23/2018,7.5,1927
Bondick,MA,2018,10/12/2018,3,1384
Bonner,MA,2018,08/31/2018,5.88,2365
Bonura,CT,2018,09/25/2018,12,2408
Borsook,MA,2018,10/09/2018,3,1192
Bouchier,MA,2018,04/03/2018,6.75,455
Bowers,MA,2018,10/25/2018,45.5,378
Brodeur,MA,2018,10/16/2018,10,1735
Chesworth,MA,2018,10/12/2018,10.5,416
Christo,MA,2018,08/23/2018,15,1746
Christo,MA,2018,04/13/2018,13.5,1746
Clark,MA,2018,08/13/2018,10.5,1102
Clark,MA,2018,08/06/2018,9,2267
Close,RI,2018,08/09/2018,16.5,1129
Corman,MA,2018,10/22/2018,6,323
Courtyard Marriott Boston Downtown,MA,2018,10/01/2018,2.25,1758
Danila,MA,2018,10/25/2018,4.5,1190
Danila,MA,2018,10/25/2018,10.5,1320
Davis,MA,2018,08/11/2018,24,307
Davisson,MA,2018,10/24/2018,15,436
Denman,MA,2018,10/15/2018,16.5,1957
DePasquale,MA,2018,10/12/2018,10.5,1107
Diviacchi,MA,2018,10/18/2018,6,1051
Dunbar,MA,2018,08/14/2018,18,2025
Duplin,MA,2018,10/16/2018,21,1400
Dweck-McMullen,DC,2018,12/05/2018,8.4,2466
Edelman,MA,2018,10/12/2018,7.5,1937
Edmonds,MA,2018,10/31/2018,3,2461
Etemad-Gilbertson,MA,2018,10/25/2018,14.28,2173
Feeney,MA,2018,08/06/2018,10.5,1722
Fitz,MA,2018,10/15/2018,1.5,219
Fraser,NY,2018,09/26/2018,30,2282
Fritz,MA,2018,10/09/2018,1.5,402
Fulkerson,MA,2018,10/22/2018,11,2002
Gartner,NY,2018,08/06/2018,37.5,1054
Gartner,NY,2018,08/06/2018,49.5,1409
Gartner,NY,2018,08/06/2018,55.5,1806
Gonthier,MA,2018,10/10/2018,1.5,2274
Hamilton Gewirz,RI,2018,10/25/2018,19.5,1467
Hamilton Gewirz,RI,2018,10/25/2018,33,1468
Hamilton Gewirz,RI,2018,10/25/2018,25.5,1471
Hamilton Gewirz,RI,2018,08/09/2018,10.5,1471
Hamilton Gewirz,RI,2018,10/25/2018,30,1978
Hamilton Gewirz,RI,2018,10/25/2018,34.5,1979
Hamilton Gewirz,RI,2018,08/09/2018,18,1979
Hannigan,MA,2018,08/13/2018,13.5,2252
Harvard Business School,MA,2018,11/08/2018,16.5,1961
Herrick,RI,2018,03/28/2018,10,1770
Higgins,MA,2018,10/19/2018,21,2201
Hostin,NY,2018,08/21/2018,27.3,2172
Joy,NY,2018,09/27/2018,7,1584
Kane,MA,2018,07/31/2018,24,111
Kane,MA,2018,10/16/2018,25,308
Katz,MA,2018,10/25/2018,15.12,2081
Kavanaugh,MA,2018,10/12/2018,24,1851
Keppel KBS,WA,2018,12/05/2018,9.24,2332
Kessel,MA,2018,10/17/2018,13.5,1147
Kostic,MA,2018,09/26/2018,12,205
Kostic,MA,2018,09/26/2018,18,209
Kremer,NY,2018,08/28/2018,5,1573
Kristiansen,MA,2018,10/19/2018,61.5,353
LaCasse,MA,2018,04/03/2018,6,2078
Latham,MA,2018,10/10/2018,4.5,1868
Law,MA,2018,10/10/2018,6,2464
Lefurgy,CA,2018,10/15/2018,2.5,1501
Lowell,MA,2018,07/19/2018,21.56,511
Lowell,MA,2018,10/22/2018,15,1332
Macau,MA,2018,10/23/2018,25,2043
Macleod,MA,2018,10/23/2018,13,358
Macleod,MA,2018,10/23/2018,7.5,359
Maynard,MA,2018,04/03/2018,6,859
McCarthy,MA,2018,11/27/2018,4.5,2324
McCormack,CT,2018,09/26/2018,24,2241
McCormack,CT,2018,09/26/2018,30,2283
McCormack,CT,2018,07/16/2018,24,2283
McGovern,MA,2018,10/09/2018,18.75,2040
McPhee,MA,2018,08/06/2018,12,339
Midsummer's Harvest,MA,2018,08/10/2018,15,1435
Midsummer’s Harvest,CT,2018,07/16/2018,42,1794
Midsummer’s Harvest,CT,2018,07/20/2018,30,1879
Midsummer’s Harvest,CT,2018,07/16/2018,36,1928
Midsummer’s Harvest,CT,2018,07/17/2018,10.5,1945
Midsummer’s Harvest,CT,2018,07/17/2018,7.5,1988
Midsummer’s Harvest,CT,2018,07/18/2018,9,2207
Midsummer’s Harvest,CT,2018,07/16/2018,50.25,2241
Midsummer’s Harvest,MA,2018,08/16/2018,6,28
Midsummer’s Harvest,MA,2018,07/19/2018,12,33
Midsummer’s Harvest,MA,2018,08/17/2018,18,41
Midsummer’s Harvest,MA,2018,08/17/2018,25.5,42
Midsummer’s Harvest,MA,2018,03/23/2018,9,42
Midsummer’s Harvest,MA,2018,07/18/2018,8.625,48
Midsummer’s Harvest,MA,2018,08/08/2018,9,83
Midsummer’s Harvest,MA,2018,07/31/2018,6,113
Midsummer’s Harvest,MA,2018,08/07/2018,18,114
Midsummer’s Harvest,MA,2018,07/02/2018,12,114
Midsummer’s Harvest,MA,2018,08/14/2018,13.5,116
Midsummer’s Harvest,MA,2018,08/15/2018,12,119
Midsummer’s Harvest,MA,2018,07/23/2018,12.375,130
Midsummer’s Harvest,MA,2018,07/19/2018,7.5,141
Midsummer’s Harvest,MA,2018,07/31/2018,7.5,207
Midsummer’s Harvest,MA,2018,07/31/2018,18,209
Midsummer’s Harvest,MA,2018,07/31/2018,9,210
Midsummer’s Harvest,MA,2018,07/31/2018,21,211
Midsummer’s Harvest,MA,2018,07/31/2018,12,213
Midsummer’s Harvest,MA,2018,07/20/2018,26.73,276
Midsummer’s Harvest,MA,2018,07/25/2018,13.5,290
Midsummer’s Harvest,MA,2018,07/31/2018,7.5,308
Midsummer’s Harvest,MA,2018,08/08/2018,9,318
Midsummer’s Harvest,MA,2018,07/02/2018,27,318
Midsummer’s Harvest,MA,2018,08/02/2018,9,323
Midsummer’s Harvest,MA,2018,08/13/2018,12,352
Midsummer’s Harvest,MA,2018,08/09/2018,21,359
Midsummer’s Harvest,MA,2018,08/16/2018,4.5,365
